Authors,Authors (Full Names),Beginning Page,DOI,ISSN,Journal Title (Full),New ISI Keywords,Original Keywords,Publication Year,Research Field,Times Cited,Title,Unique ID,Version Number,Volume,PM,File Name,Cite Me As
"Acuna-Farina, JC","Carlos Acuna-Farina, Juan",257,10.1017/S0022226712000084,0022-2267,JOURNAL OF LINGUISTICS,SUBJECT-VERB AGREEMENT |SENTENCE PRODUCTION |LANGUAGE PRODUCTION |NUMBER AGREEMENT |SYNTACTIC TREE |ENGLISH |GENDER |RESOLUTION |COMPREHENSION |MOVEMENT,,2012,Linguistics|Language & Linguistics,1,"Agreement, attraction and architectural opportunism",WOS:000306095200001,1,48,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Acuna-Farina JC, 2012, V48, P257, DOI 10.1017/S0022226712000084"
"Marino, BFM|Gallese, V|Buccino, G|Riggio, L","Marino, Barbara F. M.|Gallese, Vittorio|Buccino, Giovanni|Riggio, Lucia",849,10.1016/j.cortex.2010.12.003,0010-9452,CORTEX,IMPOSSIBLE MOVEMENTS |COMPREHENSION |WORDS |REPRESENTATIONS |RECOGNITION |BRAIN |FMRI |SIMULATION |RESONANCE |KNOWLEDGE,Embodied language|Situated simulation|Language understanding,2012,Behavioral Sciences|Neurosciences,6,Language sensorimotor specificity modulates the motor system,WOS:000305710600005,1,48,21227411,D:\Users\mginda\Desktop\savedrecs(10).txt,"Marino BFM, 2012, V48, P849, DOI 10.1016/j.cortex.2010.12.003"
"Glenberg, AM|Gallese, V","Glenberg, Arthur M.|Gallese, Vittorio",905,10.1016/j.cortex.2011.04.010,0010-9452,CORTEX,MIRROR NEURON SYSTEM |VENTRAL PREMOTOR CORTEX |MOTOR SYSTEM |BROCAS AREA |SPEECH-PERCEPTION |ACTION ORGANIZATION |ACTION RECOGNITION |SOCIAL COGNITION |REPRESENTATIONS |GESTURE,Language|Embodiment|Mirror neurons|HMOSAIC model of action control,2012,Behavioral Sciences|Neurosciences,76,"Action-based language: A theory of language acquisition, comprehension, and production",WOS:000305710600011,1,48,21601842,D:\Users\mginda\Desktop\savedrecs(10).txt,"Glenberg AM, 2012, V48, P905, DOI 10.1016/j.cortex.2011.04.010"
"Tria, F|Galantucci, B|Loreto, V","Tria, Francesca|Galantucci, Bruno|Loreto, Vittorio",,10.1371/journal.pone.0037744,1932-6203,PLOS ONE,COMBINATORIAL PHONOLOGY |SELF-ORGANIZATION |HUMAN LANGUAGE |SIGN-LANGUAGE |EVOLUTION |EMERGENCE |SYSTEMS |COMMUNICATION |SPEECH |ORIGIN,,2012,Multidisciplinary Sciences,8,Naming a Structured World: A Cultural Route to Duality of Patterning,WOS:000305652700006,1,7,22723839,D:\Users\mginda\Desktop\savedrecs(10).txt,"Tria F, 2012, V7, DOI 10.1371/journal.pone.0037744"
"Hunley, K|Bowern, C|Healy, M","Hunley, Keith|Bowern, Claire|Healy, Meghan",2281,10.1098/rspb.2011.2296,0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,PHYLOGENETIC TREES |HUMAN-POPULATIONS |AFRICA |DIVERSITY |HISTORY |EVOLUTION |EXPANSION |DISTANCE |MUTATION |SUPPORT,serial founder effects|coevolution|historical linguistics,2012,Biology|Ecology|Evolutionary Biology,8,Rejection of a serial founder effects model of genetic and linguistic coevolution,WOS:000303149800027,1,279,22298843,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hunley K, 2012, V279, P2281, DOI 10.1098/rspb.2011.2296"
"DeThorne, LS|Harlaar, N|Petrill, SA|Deater-Deckard, K","DeThorne, Laura Segebart|Harlaar, Nicole|Petrill, Stephen A.|Deater-Deckard, Kirby",739,10.1044/1092-4388(2011/11-0014),1092-4388,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,SCHOOL-AGE-CHILDREN |ENVIRONMENTAL-INFLUENCES |LEARNING-DISABILITIES |COGNITIVE-DEVELOPMENT |DEVELOPMENTAL-CHANGES |BEHAVIORAL-GENETICS |EARLY-CHILDHOOD |NONVERBAL IQ |IMPAIRMENT |SPEECH,language|elementary pupils|expressive language assessment,2012,Audiology & Speech-Language Pathology|Linguistics|Rehabilitation,1,Longitudinal Stability in Genetic Effects on Children's Conversational Language Productivity,WOS:000314523500006,1,55,22232406,D:\Users\mginda\Desktop\savedrecs(10).txt,"DeThorne LS, 2012, V55, P739, DOI 10.1044/1092-4388(2011/11-0014)"
"Hadjipantelis, PZ|Aston, JAD|Evans, JP","Hadjipantelis, Pantelis Z.|Aston, John A. D.|Evans, Jonathan P.",4651,10.1121/1.4714345,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,REGRESSION-MODELS |LONGITUDINAL DATA |SPEECH |CURVES,,2012,Acoustics|Audiology & Speech-Language Pathology,3,Characterizing fundamental frequency in Mandarin: A functional principal component approach utilizing mixed effect models,WOS:000309133500055,1,131,22712938,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hadjipantelis PZ, 2012, V131, P4651, DOI 10.1121/1.4714345"
"Smyth, T|Abel, JS","Smyth, Tamara|Abel, Jonathan S.",4799,10.1121/1.3699211,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,MODEL |FLOW,,2012,Acoustics|Audiology & Speech-Language Pathology,3,Toward an estimation of the clarinet reed pulse from instrument performance,WOS:000309133500068,1,131,22712951,D:\Users\mginda\Desktop\savedrecs(10).txt,"Smyth T, 2012, V131, P4799, DOI 10.1121/1.3699211"
"Rhone, AE|Jongman, A","Rhone, Ariane E.|Jongman, Allard",EL487,10.1121/1.4722169,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,PERCEPTION |SPEECH |ARTICULATION |INVARIANCE |CONSONANTS,,2012,Acoustics|Audiology & Speech-Language Pathology,3,Modified locus equations categorize stop place in a perceptually realistic time frame,WOS:000309133500011,1,131,22713026,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rhone AE, 2012, V131, EL487, DOI 10.1121/1.4722169"
"Lipowska, D|Lipowski, A","Lipowska, Dorota|Lipowski, Adam",311,,1064-5462,ARTIFICIAL LIFE,LANGUAGE |DYNAMICS |TRANSITION |SIMULATION |EVOLUTION |MODEL,Adaptive weighted networks|naming game,2012,"Computer Science, Artificial Intelligence|Computer Science, Theory & Methods",0,Naming Game on Adaptive Weighted Networks,WOS:000307088300004,1,18,22662912,D:\Users\mginda\Desktop\savedrecs(10).txt,"Lipowska D, 2012, V18, P311"
"Sauri, R|Pustejovsky, J","Sauri, Roser|Pustejovsky, James",261,,1530-9312,COMPUTATIONAL LINGUISTICS,RESEARCH ARTICLES |BIOMEDICAL TEXT |LANGUAGE |ANNOTATION |MODALITY,,2012,"Computer Science, Artificial Intelligence|Computer Science, Interdisciplinary Applications|Linguistics|Language & Linguistics",5,Are You Sure That This Happened? Assessing the Factuality Degree of Events in Text,WOS:000306100900002,1,38,,D:\Users\mginda\Desktop\savedrecs(10).txt,"Sauri R, 2012, V38, P261"
"Schroder, A|Gemballa, T|Ruppin, S|Wartenburger, I","Schroder, Astrid|Gemballa, Teresa|Ruppin, Steffie|Wartenburger, Isabell",380,10.3758/s13428-011-0164-y,1554-351X,BEHAVIOR RESEARCH METHODS,ONLINE CATEGORY VERIFICATION |AFFECTIVE WORD LIST |OF-ACQUISITION |NAME AGREEMENT |VISUAL COMPLEXITY |IMAGE AGREEMENT |VANDERWART PICTURES |LEXICAL DECISION |NAMING TIMES |CUMULATIVE FREQUENCY,Semantic typicality|Age of acquisition|Concept familiarity|Norm data|Semantic categories|German database|Lexical-semantic processing|Exemplar generation,2012,"Psychology, Mathematical|Psychology, Experimental",8,"German norms for semantic typicality, age of acquisition, and concept familiarity",WOS:000304208400007,1,44,22190280,D:\Users\mginda\Desktop\savedrecs(10).txt,"Schroder A, 2012, V44, P380, DOI 10.3758/s13428-011-0164-y"
"Kemp, C|Regier, T","Kemp, Charles|Regier, Terry",1049,10.1126/science.1218811,0036-8075,SCIENCE,SIBLING TERMINOLOGIES |INFORMATION-THEORY |UNIVERSALS |EVOLUTION |TYPOLOGY |TERMS |COLOR,,2012,Multidisciplinary Sciences,15,Kinship Categories Across Languages Reflect General Communicative Principles,WOS:000304406800049,1,336,22628658,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kemp C, 2012, V336, P1049, DOI 10.1126/science.1218811"
"Inubushi, T|Iijima, K|Koizumi, M|Sakai, KL","Inubushi, Tomoo|Iijima, Kazuki|Koizumi, Masatoshi|Sakai, Kuniyoshi L.",,10.1371/journal.pone.0037192,1932-6203,PLOS ONE,BROCAS AREA |JAPANESE |COMPREHENSION |FMRI |INFORMATION |CORTEX |BRAIN |EEG,,2012,Multidisciplinary Sciences,2,Left Inferior Frontal Activations Depending on the Canonicity Determined by the Argument Structures of Ditransitive Sentences: An MEG Study,WOS:000305345300025,1,7,22629366,D:\Users\mginda\Desktop\savedrecs(10).txt,"Inubushi T, 2012, V7, DOI 10.1371/journal.pone.0037192"
"Raikov, I|De Schutter, E","Raikov, Ivan|De Schutter, Erik",,10.1371/journal.pcbi.1002521,1553-7358,PLOS COMPUTATIONAL BIOLOGY,STOCHASTIC SIMULATION |CELLML 1.1 |SYSTEMS |NEURONS |NEUROSCIENCE,,2012,Biochemical Research Methods|Mathematical & Computational Biology,4,The Layer-Oriented Approach to Declarative Languages for Biological Modeling,WOS:000305964600028,1,8,22615554,D:\Users\mginda\Desktop\savedrecs(10).txt,"Raikov I, 2012, V8, DOI 10.1371/journal.pcbi.1002521"
"Chi, TS|Lin, TH|Hsu, CC","Chi, Tai-Shih|Lin, Ting-Han|Hsu, Chung-Chien",EL368,10.1121/1.3697534,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,SPEECH-INTELLIGIBILITY |RECOGNITION |FEATURES |NOISE,,2012,Acoustics|Audiology & Speech-Language Pathology,0,Spectro-temporal modulation energy based mask for robust speaker identification,WOS:000303601600003,1,131,22559454,D:\Users\mginda\Desktop\savedrecs(10).txt,"Chi TS, 2012, V131, EL368, DOI 10.1121/1.3697534"
"Chi, TS|Huang, CW|Chou, WS","Chi, Tai-Shih|Huang, Ching-Wen|Chou, Wen-Sheng",EL361,10.1121/1.3697530,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,BLIND SOURCE SEPARATION |SPARSE |DOMAIN,,2012,Acoustics|Audiology & Speech-Language Pathology,0,A frequency bin-wise nonlinear masking algorithm in convolutive mixtures for speech segregation,WOS:000303601600002,1,131,22559453,D:\Users\mginda\Desktop\savedrecs(10).txt,"Chi TS, 2012, V131, EL361, DOI 10.1121/1.3697530"
"Escudero, P|Williams, D","Escudero, Paola|Williams, Daniel",EL406,10.1121/1.3701708,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,ACOUSTIC SIMILARITY PREDICTS |L2 PERCEPTION |ASSIMILATION |LISTENERS |ENGLISH,,2012,Acoustics|Audiology & Speech-Language Pathology,9,Native dialect influences second-language vowel perception: Peruvian versus Iberian Spanish learners of Dutch,WOS:000303601600009,1,131,22559460,D:\Users\mginda\Desktop\savedrecs(10).txt,"Escudero P, 2012, V131, EL406, DOI 10.1121/1.3701708"
"Stavness, I|Gick, B|Derrick, D|Fels, S","Stavness, Ian|Gick, Bryan|Derrick, Donald|Fels, Sidney",EL355,10.1121/1.3695407,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,VERTICAL-BAR,,2012,Acoustics|Audiology & Speech-Language Pathology,4,Biomechanical modeling of English /r/ variants,WOS:000303601600001,1,131,22559452,D:\Users\mginda\Desktop\savedrecs(10).txt,"Stavness I, 2012, V131, EL355, DOI 10.1121/1.3695407"
"Greco, A|Carrea, E","Greco, Alberto|Carrea, Elena",139,10.1007/s10339-011-0427-7,1612-4782,COGNITIVE PROCESSING,REPRESENTATIONS |SPACE |CATEGORIZATION |ACQUISITION |SIMILARITY |PERCEPTION |ATTENTION |SEMANTICS |FEATURES |STIMULUS,Compositionality|Symbol grounding|Representation|Associative learning|Integral stimuli|Separable stimuli,2012,"Psychology, Experimental",0,Grounding compositional symbols: no composition without discrimination,WOS:000303399200004,1,13,22086352,D:\Users\mginda\Desktop\savedrecs(10).txt,"Greco A, 2012, V13, P139, DOI 10.1007/s10339-011-0427-7"
"Tavano, A|Grimm, S|Costa-Faidella, J|Slabu, L|Schroger, E|Escera, C","Tavano, A.|Grimm, S.|Costa-Faidella, J.|Slabu, L.|Schroeger, E.|Escera, C.",2300,10.1016/j.neuroimage.2012.02.041,1053-8119,NEUROIMAGE,MISMATCH NEGATIVITY MMN |HUMAN AUDITORY-CORTEX |SOUND |LANGUAGE |BRAIN |REPRESENTATIONS |ORGANIZATION |INFORMATION |POTENTIALS |PERCEPTION,Mismatch Negativity|Spectrotemporal processing|Lexical access|Sensory memory|Long-term memory,2012,"Neurosciences|Neuroimaging|Radiology, Nuclear Medicine & Medical Imaging",2,Spectrotemporal processing drives fast access to memory traces for spoken words,WOS:000302926600037,1,60,22387169,D:\Users\mginda\Desktop\savedrecs(10).txt,"Tavano A, 2012, V60, P2300, DOI 10.1016/j.neuroimage.2012.02.041"
"Brennan, J|Pylkkanen, L","Brennan, Jonathan|Pylkkaenen, Liina",1139,10.1016/j.neuroimage.2012.01.030,1053-8119,NEUROIMAGE,ANTERIOR TEMPORAL CORTEX |POSITRON-EMISSION-TOMOGRAPHY |VISUAL WORD RECOGNITION |FALSE DISCOVERY RATE |LANGUAGE COMPREHENSION |BROCAS AREA |PREFRONTAL CORTEX |WORKING-MEMORY |SYNTACTIC COMPREHENSION |CORTICAL REPRESENTATION,MEG|Language comprehension|Sentence processing|aTL|vmPFC|LIFG,2012,"Neurosciences|Neuroimaging|Radiology, Nuclear Medicine & Medical Imaging",17,The time-course and spatial distribution of brain activity associated with sentence processing,WOS:000303272300031,1,60,22248581,D:\Users\mginda\Desktop\savedrecs(10).txt,"Brennan J, 2012, V60, P1139, DOI 10.1016/j.neuroimage.2012.01.030"
"Jackson, MTT|McGowan, RS","Jackson, Michel T-T.|McGowan, Richard S.",3017,10.1121/1.3692246,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,SELF-ORGANIZATION |SYSTEMS |TONGUE |ENGLISH |GERMAN |LIP,,2012,Acoustics|Audiology & Speech-Language Pathology,2,A study of high front vowels with articulatory data and acoustic simulations,WOS:000302854800054,1,131,22501077,D:\Users\mginda\Desktop\savedrecs(10).txt,"Jackson MTT, 2012, V131, P3017, DOI 10.1121/1.3692246"
"Singh, R|Allen, JB","Singh, Riya|Allen, Jont B.",3051,10.1121/1.3682054,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,HEARING-IMPAIRED LISTENERS |SPEECH-PERCEPTION |FORMANT TRANSITIONS |NATURAL SPEECH |RECOGNITION |CUES |CONFUSIONS |NOISE |IDENTIFICATION |PREDICTION,,2012,Acoustics|Audiology & Speech-Language Pathology,5,The influence of stop consonants' perceptual features on the Articulation Index model,WOS:000302854800056,1,131,22501079,D:\Users\mginda\Desktop\savedrecs(10).txt,"Singh R, 2012, V131, P3051, DOI 10.1121/1.3682054"
"Schlosser, RW|Shane, H|Sorce, J|Koul, R|Bloomfield, E|Debrowski, L|DeLuca, T|Miller, S|Schneider, D|Neff, A","Schlosser, Ralf W.|Shane, Howard|Sorce, James|Koul, Rajinder|Bloomfield, Emma|Debrowski, Lisa|DeLuca, Tim|Miller, Stephanie|Schneider, Danielle|Neff, Allison",342,10.1044/1092-4388(2011/10-0164),1092-4388,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,VISUAL COMPLEXITY |FAMILIARITY |PICTURES |CHILDREN |SYSTEMS |IMAGES |NORMS,animation|augmentative and alternative communication|children|graphic symbols,2012,Audiology & Speech-Language Pathology|Linguistics|Rehabilitation,10,"Animation of Graphic Symbols Representing Verbs and Prepositions: Effects on Transparency, Name Agreement, and Identification",WOS:000302768000003,1,55,22207700,D:\Users\mginda\Desktop\savedrecs(10).txt,"Schlosser RW, 2012, V55, P342, DOI 10.1044/1092-4388(2011/10-0164)"
"Hazrati, O|Loizou, PC","Hazrati, Oldooz|Loizou, Philipos C.",500,10.1044/1092-4388(2011/11-0073),1092-4388,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,HEARING-IMPAIRED LISTENERS |SPEECH RECOGNITION |ACOUSTIC LANDMARKS |ROOM ACOUSTICS |INTELLIGIBILITY |PERCEPTION |CONSONANTS |IDENTIFICATION |ENHANCEMENT |SEGREGATION,reverberation|noise|dereverberation algorithms,2012,Audiology & Speech-Language Pathology|Linguistics|Rehabilitation,7,Tackling the Combined Effects of Reverberation and Masking Noise Using Ideal Channel Selection,WOS:000302768000014,1,55,22232411,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hazrati O, 2012, V55, P500, DOI 10.1044/1092-4388(2011/11-0073)"
"Chen, Q|Mirman, D","Chen, Qi|Mirman, Daniel",417,10.1037/a0027175,0033-295X,PSYCHOLOGICAL REVIEW,VISUAL WORD RECOGNITION |INTERACTIVE ACTIVATION MODEL |PHONOLOGICAL NEIGHBORHOOD |SPOKEN WORDS |TIME-COURSE |SPEECH PRODUCTION |READING ALOUD |EYE-MOVEMENTS |ORTHOGRAPHIC NEIGHBORHOOD |SEMANTIC CATEGORIZATION,interactive activation|competition|neighbor effects|neighborhood effects|lexical processing,2012,"Psychology|Psychology, Multidisciplinary",29,Competition and Cooperation Among Similar Representations: Toward a Unified Account of Facilitative and Inhibitory Effects of Lexical Neighbors,WOS:000302968200009,1,119,22352357,D:\Users\mginda\Desktop\savedrecs(10).txt,"Chen Q, 2012, V119, P417, DOI 10.1037/a0027175"
"Rey, A|Perruchet, P|Fagot, J","Rey, Arnaud|Perruchet, Pierre|Fagot, Joel",180,10.1016/j.cognition.2011.12.005,0010-0277,COGNITION,LANGUAGE |PERFORMANCE |RECURSION |GRAMMAR,Recursion|Centre-embedded structures|Nonhuman primates,2012,"Psychology, Experimental",10,Centre-embedded structures are a by-product of associative learning and working memory constraints: Evidence from baboons (Papio Papio),WOS:000301474000013,1,123,22225966,D:\Users\mginda\Desktop\savedrecs(10).txt,"Rey A, 2012, V123, P180, DOI 10.1016/j.cognition.2011.12.005"
"Hackenberg, M|Rueda, A|Carpena, P|Bernaola-Galvan, P|Barturen, G|Oliver, JL","Hackenberg, Michael|Rueda, Antonio|Carpena, Pedro|Bernaola-Galvan, Pedro|Barturen, Guillermo|Oliver, Jose L.",127,10.1016/j.jtbi.2011.12.024,0022-5193,JOURNAL OF THEORETICAL BIOLOGY,ISOCHORE CHROMOSOME MAPS |CIS-REGULATORY ELEMENTS |COMPUTATIONAL IDENTIFICATION |HUMAN GENOME |SEQUENCES |TRANSCRIPTION |MOTIFS |DATABASE |GENES |PREDICTION,DNA-words|Word clustering|Enrichment/depletion experiments|Biological function,2012,Biology|Mathematical & Computational Biology,6,Clustering of DNA words and biological function: A proof of principle,WOS:000300652000013,1,297,22226985,D:\Users\mginda\Desktop\savedrecs(10).txt,"Hackenberg M, 2012, V297, P127, DOI 10.1016/j.jtbi.2011.12.024"
"Petersen, AM|Tenenbaum, J|Havlin, S|Stanley, HE","Petersen, Alexander M.|Tenenbaum, Joel|Havlin, Shlomo|Stanley, H. Eugene",,10.1038/srep00313,2045-2322,SCIENTIFIC REPORTS,SCALING BEHAVIOR |GROWTH DYNAMICS |BUSINESS FIRMS |HUMAN LANGUAGE |RATES |ORGANIZATION |VOLATILITY |FREQUENCY |BURSTS |SYSTEMS,,2012,Multidisciplinary Sciences,27,Statistical Laws Governing Fluctuations in Word Use from Word Birth to Word Death,WOS:000301774200002,1,2,22423321,D:\Users\mginda\Desktop\savedrecs(10).txt,"Petersen AM, 2012, V2, DOI 10.1038/srep00313"
"Gong, T|Shuai, L|Tamariz, M|Jager, G","Gong, Tao|Shuai, Lan|Tamariz, Monica|Jaeger, Gerhard",,10.1371/journal.pone.0033171,1932-6203,PLOS ONE,SELECTION |NETWORKS |DISTRIBUTIONS |COVARIANCE |EVOLUTION,,2012,Multidisciplinary Sciences,8,Studying Language Change Using Price Equation and Polya-urn Dynamics,WOS:000302381500106,1,7,22427981,D:\Users\mginda\Desktop\savedrecs(10).txt,"Gong T, 2012, V7, DOI 10.1371/journal.pone.0033171"
"Barbosa, AV|Dechaine, RM|Vatikiotis-Bateson, E|Yehia, HC","Barbosa, Adriano Vilela|Dechaine, Rose-Marie|Vatikiotis-Bateson, Eric|Yehia, Hani Camille",2162,10.1121/1.3682040,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,PHASE SYNCHRONIZATION |RECURRENCE PLOTS |WORD RECOGNITION |POSTURAL CONTROL |COHERENCE |EEG |SYSTEMS |CONSTRAINTS |PERCEPTION,acoustic signal processing|correlation methods|spatiotemporal phenomena,2012,Acoustics|Audiology & Speech-Language Pathology,7,Quantifying time-varying coordination of multimodal speech signals using correlation map analysis,WOS:000301719200045,1,131,22423712,D:\Users\mginda\Desktop\savedrecs(10).txt,"Barbosa AV, 2012, V131, P2162, DOI 10.1121/1.3682040"
"Kohn, ME|Farrington, C","Kohn, Mary Elizabeth|Farrington, Charlie",2237,10.1121/1.3682061,0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,AMERICAN ENGLISH VOWELS |AUDITORY REPRESENTATION |CLASSIFICATION |MODEL,,2012,Acoustics|Audiology & Speech-Language Pathology,4,Evaluating acoustic speaker normalization algorithms: Evidence from longitudinal child data,WOS:000301719200052,1,131,22423719,D:\Users\mginda\Desktop\savedrecs(10).txt,"Kohn ME, 2012, V131, P2237, DOI 10.1121/1.3682061"
"Thothathiri, M|Kim, A|Trueswell, JC|Thompson-Schill, SL","Thothathiri, Malathi|Kim, Albert|Trueswell, John C.|Thompson-Schill, Sharon L.",259,10.1016/j.bandl.2011.12.004,0093-934X,BRAIN AND LANGUAGE,PREFRONTAL CORTEX |WORKING-MEMORY |BRAIN ACTIVATION |COMPREHENSION,Language|Syntax|Semantics|Left inferior frontal cortex|Executive function|Broca's area|Sentence processing,2012,"Audiology & Speech-Language Pathology|Linguistics|Neurosciences|Psychology, Experimental",7,Parametric effects of syntactic-semantic conflict in Broca's area during sentence processing,WOS:000301759100006,1,120,22225974,D:\Users\mginda\Desktop\savedrecs(10).txt,"Thothathiri M, 2012, V120, P259, DOI 10.1016/j.bandl.2011.12.004"
"Levinson, SC|Gray, RD","Levinson, Stephen C.|Gray, Russell D.",167,10.1016/j.tics.2012.01.007,1364-6613,TRENDS IN COGNITIVE SCIENCES,CULTURAL-EVOLUTION |SPATIAL COGNITION |BRAIN |DIVERSITY |MODEL |GENES |UNIVERSALS |FREQUENCY |LITERACY |HISTORY,,2012,"Behavioral Sciences|Neurosciences|Psychology, Experimental",23,Tools from evolutionary biology shed new light on the diversification of languages,WOS:000301635500010,1,16,22336727,D:\Users\mginda\Desktop\savedrecs(10).txt,"Levinson SC, 2012, V16, P167, DOI 10.1016/j.tics.2012.01.007"
"Arnon, I|Ramscar, M","Arnon, Inbal|Ramscar, Michael",292,10.1016/j.cognition.2011.10.009,0010-0277,COGNITION,SPOKEN WORD RECOGNITION |ADAPTIVE NETWORK MODEL |RESCORLA-WAGNER MODEL |LANGUAGE-ACQUISITION |FOREIGN-LANGUAGE |DOPAMINE NEURONS |CHILDRENS SPEECH |CROSS-LANGUAGE |YOUNG INFANTS |FRENCH,Communication|Language|Learning|Second language acquisition|Linguistic units,2012,"Psychology, Experimental",15,Granularity and the acquisition of grammatical gender: How order-of-acquisition affects what gets learned,WOS:000300809000003,1,122,22169657,D:\Users\mginda\Desktop\savedrecs(10).txt,"Arnon I, 2012, V122, P292, DOI 10.1016/j.cognition.2011.10.009"
